Fecha,Total,Cruceristas,Excursionista,Turista,Viajero,Turista + Excursionista,País: Guatemala,País: El Salvador,País: Estados Unidos de América
2009-01-01,183505.5905347593,12570.0,14902.279306915052,135041.75003825783,20991.561189586428,149944.0293451729,57050.999999999956,31607.41053475936,24276.0
2009-02-01,149426.2539075136,10736.000000000002,24332.993577716043,102970.69862566146,11386.561704136077,127303.6922033775,40957.00000000001,26611.326959578215,24064.0
2009-03-01,174237.2270951157,10332.0,20599.633679356633,138196.0401392462,5109.553276512853,158795.67381860284,49421.00000000001,34552.77000000002,30701.0
2009-04-01,182842.4899173554,7791.999999999998,29049.646900235744,142963.8207937807,3037.0222233389586,172013.46769401644,58298.900826446275,35533.330000000016,26838.0
2009-05-01,133194.66765069554,5477.0,17525.748433490946,107033.77591720213,3158.1433000024845,124559.52435069307,44299.00000000001,27173.817650695546,22039.0
2009-06-01,156292.12857142845,0.0,21466.958693099583,129975.84468517316,4849.325193155705,151442.80337827274,52952.999999999905,30127.64,32682.428571428572
2009-07-01,140089.27569229022,0.0,17378.822207034154,120238.12953518535,2472.3239500707155,137616.9517422195,56933.68136557611,26910.130000000012,22039.0
2009-08-01,189382.18837563434,7525.0,26580.966721212728,152763.07508255166,2513.146571869943,179344.04180376438,52551.99999999997,54797.80999999985,26116.0
2009-09-01,135790.18845637582,0.0,19318.126062926996,113473.00747267458,2999.0549207742397,132791.13353560158,48463.26845637582,35011.46,14624.0
2009-10-01,156825.96666666667,0.0,20834.44467736837,132319.16510950055,3672.3568797977746,153153.6097868689,56913.00000000001,40960.62000000001,18819.0
2009-11-01,189158.16000000012,12040.0,22318.95956563994,151304.31339305168,3494.8870413085265,173623.2729586916,66126.00000000001,44545.55000000012,20356.0
2009-12-01,238031.58770897836,14873.999999999998,29789.57830083077,189805.0728963087,3562.9365118388964,219594.65119713946,84440.37770897834,50437.480000000025,31722.0
2010-01-01,199130.9858823529,13161.0,19537.43594628021,142795.82956537616,23636.72037069652,162333.26551165635,65897.99999999996,39775.049999999996,25731.95588235294
2010-02-01,152599.55714285714,6203.0,26839.178478116686,105688.28174790807,13869.09691683238,132527.46022602476,43017.0,34381.22,23443.85714285714
2010-03-01,176632.7872462976,8991.0,25250.56743827034,138100.5253212707,4290.694486756583,163351.09275954103,55524.0,20923.977591125204,34880.68965517241
2010-04-01,179655.10000000006,5337.0,29095.186264756867,141775.71903841427,3447.1946968289203,170870.90530317114,60665.00000000001,42042.62000000004,23471.0
2010-05-01,146392.53513761464,1189.0,23838.554709681353,117453.05423800476,3911.926189928548,141291.6089476861,49681.0,33877.86999999997,20524.669724770643
2010-06-01,160401.53999999995,0.0,22224.73113945978,133244.21593516704,4932.5929253731465,155468.9470746268,54680.99999999997,32194.519999999982,34560.5
2010-07-01,203255.90921084874,0.0,29453.953827164314,170213.87903281685,3588.076350867575,199667.83285998116,63377.99999999999,41154.26304347823,39975.85365853659
2010-08-01,192892.4358336446,6261.0,27805.149861024795,156125.8807552709,2700.4052173488953,183931.0306162957,55161.00000000001,53267.48148325358,26965.91891891892
2010-09-01,133847.88865537662,0.0,19332.73591862188,111427.61377977011,3087.538956984627,130760.34969839199,48625.00000000001,33235.00892086333,14759.723893805309
2010-10-01,166234.5409920346,4434.0,21987.77618233875,135644.34813888802,4168.416670807838,157632.12432122676,59539.99999999999,42160.61000000002,19570.5766834207
2010-11-01,193720.08842105273,10628.0,22674.89453732683,156863.44115941724,3553.752724308665,179538.33569674406,68399.99999999999,46097.57000000012,21201.86842105263
2010-12-01,248135.48519124987,16284.0,31962.917453058453,195448.1289136306,4440.438824560843,227411.04636668903,89533.0,58173.65999999998,29323.479169652877
2011-01-01,199120.59029411766,5358.0,21517.62568086722,148190.9315461481,24054.033067102348,169708.55722701532,66701.00000000003,48827.31,23994.477941176472
2011-02-01,160806.84761904762,7564.0,30966.885109101728,108902.98048176496,13372.982028180928,139869.86559086668,45452.99999999998,39053.600000000006,23103.214285714286
2011-03-01,182584.30508188406,6978.0,26405.301350847953,143552.48965780932,5648.514073226771,169957.79100865728,51253.99999999999,47393.708732171166,29279.25201666519
2011-04-01,211761.74419302514,15878.0,37285.376732141835,154370.38826294802,4227.979197935257,191655.76499508985,66610.99999999999,53731.33,26254.472222222223
2011-05-01,156728.34999999995,6664.0,22991.601804187096,122931.94597707281,4140.802218740043,145923.5477812599,51675.99999999999,38184.29999999997,21458.0
2011-06-01,170083.35714285713,1358.0,25601.47157769166,137412.99714821324,5710.888416952235,163014.4687259049,58255.99999999997,37303.76000000002,33120.357142857145
2011-07-01,204325.66331283798,0.0,31104.65133127037,169416.35337051138,3804.658611056236,200521.00470178176,68504.00000000003,42756.0,37982.42386636895
2011-08-01,187854.6781400468,10480.0,26354.395314347636,148421.09839023245,2599.1844354667296,174775.4937045801,58710.970149253735,47596.97038461547,23596.891891891893
2011-09-01,144432.6912044162,0.0,21959.622680163196,119224.21703957877,3248.8514846742314,141183.83971974195,54664.79508196722,35202.09,14379.80612244898
2011-10-01,159566.86878067983,3937.0,21154.4390990091,130894.64149689877,3580.788184771958,152049.08059590787,55803.9282868526,42912.84000000006,17760.5
2011-11-01,196650.4950404817,5482.0,24449.55845551806,162870.51944572575,3848.417139237881,187320.0779012438,69201.75862068965,52401.620000000046,20867.28947368421
2011-12-01,257540.5152835257,8651.0,34396.147718852866,209338.96295188315,5154.404612789665,243735.110670736,92903.00000000001,69834.51000000007,29861.48449612403
2012-01-01,210834.305882353,6027.0,24288.194319465412,152837.76344883564,27681.348114051925,177125.95776830104,66841.00000000004,57181.01,23657.45588235294
2012-02-01,169001.26952380955,5135.0,35433.28467699705,112386.15752131613,16046.827325496371,147819.4421983132,45264.00000000001,46179.31000000001,23751.214285714286
2012-03-01,196093.11365490346,4008.0,31532.669050896082,154704.53920125202,5847.905402755341,186237.2082521481,56350.00000000001,51118.41900158478,32299.60061732894
2012-04-01,193661.7499999999,6797.0,37412.636227883944,145478.60003478164,3973.513737334328,182891.2362626656,63209.99999999999,50197.77999999995,22151.0
